OrderID,OrderDate,Category,SubCategory,Product,Region,Salesperson,Quantity,UnitPrice,Discount,TotalSales,Profit,CustomerSegment,ShipMode
1001,2023-01-05,Electronics,Computers,Laptop Pro 15,East,Alice,2,1200.00,0.05,2280.00,456.00,Corporate,Standard
1002,2023-01-07,Electronics,Phones,Smartphone X12,West,Bob,5,799.00,0.10,3595.50,719.10,Consumer,Express
1003,2023-01-10,Furniture,Chairs,Ergonomic Chair,North,Carol,3,350.00,0.00,1050.00,210.00,Corporate,Standard
1004,2023-01-12,Office Supplies,Paper,Copy Paper Ream,South,Dave,20,8.99,0.00,179.80,35.96,Small Business,Standard
1005,2023-01-15,Electronics,Tablets,Tablet Ultra,East,Alice,4,649.00,0.05,2466.20,493.24,Consumer,Express
1006,2023-01-18,Furniture,Desks,Standing Desk,West,Bob,1,899.00,0.10,809.10,161.82,Corporate,Standard
1007,2023-01-20,Office Supplies,Pens,Premium Pen Set,North,Carol,15,12.50,0.00,187.50,37.50,Consumer,Standard
1008,2023-01-22,Electronics,Computers,Desktop Workstation,South,Dave,1,1850.00,0.00,1850.00,370.00,Corporate,Express
1009,2023-01-25,Clothing,Tops,Business Shirt,East,Alice,8,45.00,0.15,306.00,61.20,Consumer,Standard
1010,2023-01-28,Clothing,Bottoms,Dress Pants,West,Bob,6,75.00,0.10,405.00,81.00,Consumer,Standard
1011,2023-02-02,Electronics,Phones,Smartphone S9,North,Carol,3,699.00,0.05,1992.15,398.43,Small Business,Express
1012,2023-02-05,Furniture,Sofas,Office Sofa,South,Dave,2,1200.00,0.00,2400.00,480.00,Corporate,Standard
1013,2023-02-08,Office Supplies,Folders,Manila Folders 50pk,East,Alice,10,6.50,0.00,65.00,13.00,Small Business,Standard
1014,2023-02-10,Electronics,Monitors,4K Monitor 27in,West,Bob,3,499.00,0.10,1347.30,269.46,Corporate,Express
1015,2023-02-14,Clothing,Accessories,Leather Belt,North,Carol,12,30.00,0.00,360.00,72.00,Consumer,Standard
1016,2023-02-17,Furniture,Chairs,Conference Chair,South,Dave,10,220.00,0.05,2090.00,418.00,Corporate,Standard
1017,2023-02-20,Office Supplies,Paper,Specialty Paper,East,Alice,8,15.00,0.00,120.00,24.00,Small Business,Standard
1018,2023-02-23,Electronics,Computers,Gaming Laptop,West,Bob,2,1599.00,0.00,3198.00,639.60,Consumer,Express
1019,2023-02-26,Clothing,Tops,Polo Shirt,North,Carol,20,35.00,0.10,630.00,126.00,Consumer,Standard
1020,2023-03-01,Electronics,Tablets,Kids Tablet,South,Dave,6,299.00,0.05,1704.30,340.86,Consumer,Standard
1021,2023-03-05,Furniture,Desks,Computer Desk,East,Alice,4,450.00,0.10,1620.00,324.00,Corporate,Standard
1022,2023-03-08,Office Supplies,Staples,Stapler Kit,West,Bob,25,5.99,0.00,149.75,29.95,Small Business,Standard
1023,2023-03-12,Electronics,Monitors,Gaming Monitor,North,Carol,2,799.00,0.05,1518.10,303.62,Consumer,Express
1024,2023-03-15,Clothing,Bottoms,Casual Jeans,South,Dave,10,55.00,0.15,467.50,93.50,Consumer,Standard
1025,2023-03-18,Furniture,Sofas,Reception Sofa,East,Alice,1,2200.00,0.00,2200.00,440.00,Corporate,Express
1026,2023-03-22,Electronics,Phones,Budget Phone A5,West,Bob,8,299.00,0.10,2152.80,430.56,Consumer,Standard
1027,2023-03-25,Office Supplies,Pens,Marker Set,North,Carol,30,3.50,0.00,105.00,21.00,Small Business,Standard
1028,2023-03-28,Clothing,Accessories,Tie Set,South,Dave,5,25.00,0.00,125.00,25.00,Corporate,Standard
1029,2023-04-02,Electronics,Computers,Ultrabook Slim,East,Alice,3,1399.00,0.05,3987.15,797.43,Corporate,Express
